,id_str,hashtags,urls,text,clean_text,created_at,lang,username,username_description,username_location,quote_count,reply_count,retweet_count,favorite_count,to_cache,sa_label,sa
0,1248307528447995916,['covidncancer'],['https://twitter.com/i/web/status/1248307528447995916'],🚨 A thread on the latest data (105 pts  w cancer &amp; covid19) on #covid19ncancer from a preprint via @TheLancet #covid19 🚨 #lcsm #hpcsm #mmsm #leusm #lymsm #btsm #bcsm,A thread on the latest data pts w cancer amp covid on covidncancer from a preprint via TheLancet covid lcsm hpcsm mmsm leusm lymsm btsm bcsm,2020-04-09 17:51:21,en,"Ashley Love Sumrall, MD, FACP","Neuro-onc & med onc in Charlotte, NC 🧠 Chief NeuroOnc @levinecancer @atriumhealth #btsm #advocacy, #thycsm #hncsm & rare /endo. #COVID19 Tweets = my opinions.","Charlotte, NC",0,0,0,0,True,,
1,1241030158422859779,"['coronavirus', 'carers']",['https://twitter.com/i/web/status/1241030158422859779'],"New #coronavirus guides for #carers. Helping you stay safe when supporting family, friends, neighbours or anyone in need. All on the Agylia Care App: https://t.co/iSTVsZhDWA #covid19uk https://t.co/JZPN9kCJtJ",New coronavirus guides for carers Helping you stay safe when supporting family friends neighbours or anyone in need All on the Agylia Care App coviduk,2020-03-20 15:53:41,en,Agylia Care,"A social enterprise providing free care and support guides. Helping you care for yourself, family and anyone in need. Download the Agylia Care App.",United Kingdom,0,0,2,2,True,,
2,1243352830338990080,['cnntownhall'],[],Has anyone collected data on vaping usage by COVID-19 patients? #CNNTOWNHALL,Has anyone collected data on vaping usage by COVID patients CNNTOWNHALL,2020-03-27 01:43:09,en,Winedda Brighton,,,0,0,0,0,True,neutral,0.5
3,1248572623174459392,"['corona', 'alert', 'it', 'control', 'center', 'covid']",['https://twitter.com/i/web/status/1248572623174459392'],"April 10; Muzaffarabad: Visited #Corona #Alert #IT #Control #Center established to trace and track the #COVID-19 patients and potential suspects through telephonic contact at the AJK Information Technology Board. 

@pid_gov 
@appcsocialmedia 
@PTVNewsOfficial 
@RadioPakistan https://t.co/pUJW9A3141",April Muzaffarabad Visited Corona Alert IT Control Center established to trace and track the COVID patients and potential suspects through telephonic contact at the AJK Information Technology Board pidgov appcsocialmedia PTVNewsOfficial RadioPakistan,2020-04-10 11:24:45,en,Masood Khan,President Azad Jammu and Kashmir,آزاد کشمیر,0,0,1,1,True,,
4,1251019447243902976,"['gilead', 'clinicaltrial']",['https://twitter.com/i/web/status/1251019447243902976'],"#Gilead email statement: ""totality of data need to be analyzed in order to draw any conclusions from #clinicaltrial.""
Gilead expects results from Phase 3 study of severe #COVID19 patients at April-end; Additional data from other studies in May

@Reuters #coronavirus #remdesevir",Gilead email statement totality of data need to be analyzed in order to draw any conclusions from clinicaltrial Gilead expects results from Phase study of severe COVID patients at Aprilend Additional data from other studies in May Reuters coronavirus remdesevir,2020-04-17 05:27:33,en,Divya Chowdhury,Journalist @Reuters I spoke out. Fought. And won. At least against one of my abusers. The fight is not over. Survived the five stages of grief. Here to help.,"Mumbai, India",0,0,0,0,True,,
5,1244360646474547202,['drc'],['https://twitter.com/i/web/status/1244360646474547202'],#DRC 16 new confirmed cases and 2 deaths - 2 cases in Bukavu - Congo total  81 cases and 8 deaths - if the data correct the cases to death ratio a big worry here #COVID19,DRC new confirmed cases and deaths cases in Bukavu Congo total cases and deaths if the data correct the cases to death ratio a big worry here COVID,2020-03-29 20:27:51,en,Evelyn Tremble,Filtering News Noise - Africa Wins Again - Africa Rising for the Rich - Sinking for the Poor -  RTs are NOT endorsements,,0,0,0,0,True,,
6,1240125916057083905,['ibm'],['https://apple.news/AIOiR-e-XQsuRqZJTkPshsw'],Next-gen supercomputers fast-tracking treatments for the coronavirus - CNBC #IBM https://t.co/5dAWa6jDph,Nextgen supercomputers fasttracking treatments for the coronavirus CNBC IBM,2020-03-18 04:00:33,en,Paula Koziol,"Business Development and ISV Solutions Marketing Manager. It’s a data-driven, multi-cloud world! Tweets and comments are all mine.","Worldwide via San Jose, CA",0,0,3,0,True,,
7,1251547181137395725,['nursinghomes'],['https://twitter.com/i/web/status/1251547181137395725'],"1/3
BREAKING: #Nursinghomes account for one in every four Cook County deaths from the novel coronavirus, a @WBEZ analysis of medical examiner’s data has found. As of yesterday, those fatalities totaled 200 of the county’s confirmed 776 #COVID-19 deaths. https://t.co/f7Zv5vqLBX",BREAKING Nursinghomes account for one in every four Cook County deaths from the novel coronavirus a WBEZ analysis of medical examiner s data has found As of yesterday those fatalities totaled of the county s confirmed COVID deaths,2020-04-18 16:24:35,en,Chip Mitchell,"Criminal justice reporter for @WBEZ.
Coach for my daughter's all-girls baseball team: http://facebook.com/HumboldtParkGa…. 
Mobile/Signal: 312-286-9986.",Chicago Public Media · 91.5 FM,1,1,11,9,True,,
8,1250041570658828289,['elderly'],['https://twitter.com/i/web/status/1250041570658828289'],"Is this our new reality? #Elderly people may have to be kept isolated until the end of the year to protect them from the #Coronavirus - @vonderleyen „Children and young people will enjoy more freedom of movement earlier than others."" #COVID19 https://t.co/MJSht2C0v5",Is this our new reality Elderly people may have to be kept isolated until the end of the year to protect them from the Coronavirus vonderleyen Children and young people will enjoy more freedom of movement earlier than others COVID,2020-04-14 12:41:49,en,AIES,"Austrian private non-partisan research institute & think tank with focus on EU foreign & security policy, NATO, CEE, Black Sea region and Middle East since 1996",Vienna,0,0,0,0,True,,
9,1249665048466853889,"['weatherchannel', 'covid']",[],"Well this is a sad state of affairs.

The #weatherchannel app now has a tab dedicated to tracking #COVID19 stats. https://t.co/pEILqGZolD",Well this is a sad state of affairs The weatherchannel app now has a tab dedicated to tracking COVID stats,2020-04-13 11:45:39,en,𝗢𝗠𝗚!𝗣𝗼𝗻𝗶𝗲𝘀!,Things will go back to normal but they will never be the same,"Washington, DC",0,0,0,0,True,,
10,1240975587541266432,"['dashboard', 'data', 'worldhealthorganization']",['https://twitter.com/i/web/status/1240975587541266432'],"The live #dashboard​ pulls #data from sources like the #WorldHealthOrganization to show all confirmed and suspected cases of coronavirus, along with recoveries and deaths. 

Read more: https://t.co/Mo9asKbgK7

#coronaoutbreak #coronavirus #visualization  #analytics #AI #ML",The live dashboard pulls data from sources like the WorldHealthOrganization to show all confirmed and suspected cases of coronavirus along with recoveries and deaths Read more coronaoutbreak coronavirus visualization analytics AI ML,2020-03-20 12:16:50,en,Polestar Solutions,"Building Transformational #DataAnalytics, #BI & #EnterprisePerformance Solutions for Businesses to unlock Innovation!","Noida, Uttar Pradesh",0,0,2,0,True,weakly_positive,0.57655
