,id_str,hashtags,urls,text,clean_text,created_at,lang,username,username_description,username_location,quote_count,reply_count,retweet_count,favorite_count,to_cache,sa_label,sa
0,1251375636997795848,['hpcl'],['https://twitter.com/i/web/status/1251375636997795848'],"FSMs at our COCO outlet , Chinchbhavan, #HPCL Nagpur region are helping customers download the app and explain the features of #AarogyaSetuapp.
 
Android: https://t.co/dAk4z022Vj
iOS: https://t.co/ZvkRjX3ii1
#Covid19india #Coronavirus #HarEkKaamDeshKeNaam @HPCL @Rg03Goel https://t.co/6sbijP5ErA",FSMs at our COCO outlet Chinchbhavan HPCL Nagpur region are helping customers download the app and explain the features of AarogyaSetuapp Android iOS Covidindia Coronavirus HarEkKaamDeshKeNaam HPCL RgGoel,2020-04-18 05:02:55,en,Mera HP pump,"Official Twitter handle of Retail SBU, Hindustan Petroleum Corporation Limited - A Maharatna CPSE",Mumbai ,0,0,19,28,True,,
1,1247772255234306048,"['iocl', 'bpcl', 'hpcl', 'gail', 'bsnl', 'mtnl', 'bbnl']",['https://twitter.com/i/web/status/1247772255234306048'],"#IOCL #BPCL #HPCL #GAIL are ensuring continuous supply of LPG &amp; fuel. Telecom CPSEs #BSNL #MTNL&amp; #BBNL ensured uninterrupted connectivity &amp; internet services across d country
#IndiaNeedsPSUs
#PSUsBackboneOfIndia
#IndianPSUsFightCorona https://t.co/YAi4wSMJUK via @FinancialXpress",IOCL BPCL HPCL GAIL are ensuring continuous supply of LPG amp fuel Telecom CPSEs BSNL MTNLamp BBNL ensured uninterrupted connectivity amp internet services across d country IndiaNeedsPSUs PSUsBackboneOfIndia IndianPSUsFightCorona via FinancialXpress,2020-04-08 06:24:22,en,Gajendra Somvanshi,,"Alwar, India",0,0,0,0,True,,
2,1247760590849724422,"['iocl', 'bpcl', 'hpcl', 'gail', 'bsnl', 'mtnl', 'bbnl']",['https://twitter.com/i/web/status/1247760590849724422'],"#IOCL #BPCL #HPCL #GAIL are ensuring continuous supply of LPG &amp; fuel. Telecom CPSEs #BSNL #MTNL&amp; #BBNL ensured uninterrupted connectivity &amp; internet services across d country
#IndiaNeedsPSUs
#PSUsBackboneOfIndia
#IndianPSUsFightCorona https://t.co/nHQGQFZmEq via @FinancialXpress",IOCL BPCL HPCL GAIL are ensuring continuous supply of LPG amp fuel Telecom CPSEs BSNL MTNLamp BBNL ensured uninterrupted connectivity amp internet services across d country IndiaNeedsPSUs PSUsBackboneOfIndia IndianPSUsFightCorona via FinancialXpress,2020-04-08 05:38:01,en,RAJESH KUMAR HANDA,,"Kota, India",3,0,39,29,True,,
3,1247796770433683461,"['iocl', 'bpcl', 'hpcl', 'gail', 'bsnl', 'mtnl', 'bbnl']",['https://twitter.com/i/web/status/1247796770433683461'],"#IOCL #BPCL #HPCL #GAIL are ensuring continuous supply of LPG &amp; fuel. Telecom CPSEs #BSNL #MTNL&amp; #BBNL ensured uninterrupted connectivity &amp; internet services across d country
#IndiaNeedsPSUs
#PSUsBackboneOfIndia
#IndianPSUsFightCorona https://t.co/fGQTc8cN3C via @FinancialXpress",IOCL BPCL HPCL GAIL are ensuring continuous supply of LPG amp fuel Telecom CPSEs BSNL MTNLamp BBNL ensured uninterrupted connectivity amp internet services across d country IndiaNeedsPSUs PSUsBackboneOfIndia IndianPSUsFightCorona via FinancialXpress,2020-04-08 08:01:47,en,Dharm Kumar,,"कोटा, भारत",0,0,0,0,True,,
4,1240234708132233217,"['psu', 'bsnl']",['https://twitter.com/i/web/status/1240234708132233217'],"Govt believe that existence of a #PSU like #BSNL is important both for Public Service &amp; Entire Communications Sector.
Govt has taken a conscious decision to #Revive_BSNL&amp; #MTNL because they do Public Service in Floods,Earthquake etc.
Said Hon'ble @rsprasad
🇮🇳#BSNL है तो भरोसा है। https://t.co/g9Uktxjrx5",Govt believe that existence of a PSU like BSNL is important both for Public Service amp Entire Communications Sector Govt has taken a conscious decision to ReviveBSNLamp MTNL because they do Public Service in FloodsEarthquake etc Said Honble rsprasad BSNL ह त भर स ह,2020-03-18 11:12:51,en,@bhin@v Tiw@ri,"#BSNL is a Strategic Assets of India.... Connecting India Faster.......
#Assam The Holy place of #KamakhyaDevi Temple....","Madhya Pradesh, India",4,1,76,100,True,,
5,1247764205400289284,"['iocl', 'bpcl', 'hpcl', 'gail', 'bsnl', 'mtnl', 'bbnl']",['https://twitter.com/i/web/status/1247764205400289284'],"#IOCL #BPCL #HPCL #GAIL are ensuring continuous supply of LPG &amp; fuel. Telecom CPSEs #BSNL #MTNL&amp; #BBNL ensured uninterrupted connectivity &amp; internet services across d country
#IndiaNeedsPSUs
#PSUsBackboneOfIndia
#IndianPSUsFightCorona https://t.co/GUiUiryEQF via @FinancialXpress",IOCL BPCL HPCL GAIL are ensuring continuous supply of LPG amp fuel Telecom CPSEs BSNL MTNLamp BBNL ensured uninterrupted connectivity amp internet services across d country IndiaNeedsPSUs PSUsBackboneOfIndia IndianPSUsFightCorona via FinancialXpress,2020-04-08 05:52:23,en,Sunil Kumar Gupta,"B.E. (ECE) from Malaviya National Institute of Technology, Jaipur (Then MREC, Jaipur)","Alwar, India",0,0,1,0,True,,
6,1240671464002424832,['bsnl'],['https://twitter.com/i/web/status/1240671464002424832'],#BSNL has launched  free of cost Broadband plan all over the country to promote *work from home* to control the spread of #CoronaVirusUpdate This is basic difference between BSNL and other Telecom operator @PIB_India @PMOIndia @rsprasad @DoT_India @CMDBSNL @BSNLCorporate @bsnl_tt https://t.co/zj8YUbzh0i,BSNL has launched free of cost Broadband plan all over the country to promote work from home to control the spread of CoronaVirusUpdate This is basic difference between BSNL and other Telecom operator PIBIndia PMOIndia rsprasad DoTIndia CMDBSNL BSNLCorporate bsnltt,2020-03-19 16:08:22,en,NAGELLA TRINATH,"Deputy Manager Marketing & PR : BSNL

President of Hyderabad chapter DMC (By Digital Deepak) 
#DigitalMarketing #SocialMediaMarketing","Hyderabad, India",37,13,132,161,True,strongly_positive,0.8753
7,1247763837182283783,"['iocl', 'bpcl', 'hpcl', 'gail', 'bsnl', 'mtnl', 'bbnl']",['https://twitter.com/i/web/status/1247763837182283783'],"#IOCL #BPCL #HPCL #GAIL are ensuring continuous supply of LPG &amp; fuel. Telecom CPSEs #BSNL #MTNL&amp; #BBNL ensured uninterrupted connectivity &amp; internet services across d country
#IndiaNeedsPSUs
#PSUsBackboneOfIndia
#IndianPSUsFightCorona https://t.co/AGKj20Eebu via @FinancialXpress",IOCL BPCL HPCL GAIL are ensuring continuous supply of LPG amp fuel Telecom CPSEs BSNL MTNLamp BBNL ensured uninterrupted connectivity amp internet services across d country IndiaNeedsPSUs PSUsBackboneOfIndia IndianPSUsFightCorona via FinancialXpress,2020-04-08 05:50:55,en,🔥🎸 Sandydogra🇮🇳,"army brat,love to read,write,think,travel n say my heart out,engineer by profession,thinker by choice,Traveller by luck.hope to see a better India,better world","Palampur, India",0,0,0,0,True,,
8,1247775754865111040,"['iocl', 'bpcl', 'hpcl', 'gail', 'bsnl', 'mtnl', 'bbnl']",['https://twitter.com/i/web/status/1247775754865111040'],"#IOCL #BPCL #HPCL #GAIL are ensuring continuous supply of LPG &amp; fuel. Telecom CPSEs #BSNL #MTNL&amp; #BBNL ensured uninterrupted connectivity &amp; internet services across d country
#IndiaNeedsPSUs
#PSUsBackboneOfIndia
#IndianPSUsFightCorona https://t.co/5T42P9B7JV via @FinancialXpress",IOCL BPCL HPCL GAIL are ensuring continuous supply of LPG amp fuel Telecom CPSEs BSNL MTNLamp BBNL ensured uninterrupted connectivity amp internet services across d country IndiaNeedsPSUs PSUsBackboneOfIndia IndianPSUsFightCorona via FinancialXpress,2020-04-08 06:38:17,en,Sreeviharika,,Hyderabad,0,0,0,0,True,,
9,1247781511618629634,"['iocl', 'bpcl', 'hpcl', 'gail', 'bsnl', 'mtnl', 'bbnl']",['https://twitter.com/i/web/status/1247781511618629634'],"#IOCL #BPCL #HPCL #GAIL are ensuring continuous supply of LPG &amp; fuel. Telecom CPSEs #BSNL #MTNL&amp; #BBNL ensured uninterrupted connectivity &amp; internet services across d country
#IndiaNeedsPSUs
#PSUsBackboneOfIndia
#IndianPSUsFightCorona https://t.co/3ThviIQQEI via @FinancialXpress",IOCL BPCL HPCL GAIL are ensuring continuous supply of LPG amp fuel Telecom CPSEs BSNL MTNLamp BBNL ensured uninterrupted connectivity amp internet services across d country IndiaNeedsPSUs PSUsBackboneOfIndia IndianPSUsFightCorona via FinancialXpress,2020-04-08 07:01:09,en,Ravin Gupta,Tweet is personal opinion and Retweet is not endorsement.,india,2,1,25,23,True,,
