,id_str,hashtags,urls,text,clean_text,created_at,lang,username,username_description,username_location,quote_count,reply_count,retweet_count,favorite_count,to_cache,sa_label,sa
0,1241389394121994240,"['covid', 'haryana']",['https://twitter.com/i/web/status/1241389394121994240'],"2 more tested #Covid19 positive in #Haryana today
(1 each from Panchkula &amp; Sonipat)

Total number of COVID19 Patients are 8.
6,641 persons in #Haryana are on Surveillance.

232 Samples sent; 101 test reports received !
- 93 found negative 
- 133 Samples awaited #COVID2019india https://t.co/H2yIm4WLAq",more tested Covid positive in Haryana today each from Panchkula amp Sonipat Total number of COVID Patients are persons in Haryana are on Surveillance Samples sent test reports received found negative Samples awaited COVIDindia,2020-03-21 15:41:10,en,Haryana Tweets ✏️,CRITIC- Followed by @mlkhattar @ChBirenderSingh @BhupinderSHooda @rssurjewala @Dchautala @_YogendraYadav @bishnoikuldeep @aniljaindr @NSaina @yuzi_chahal @IYC,#Haryana #Chandigarh #India,0,2,10,9,True,,
1,1250425106423136258,"['delhi', 'gurugram', 'haryana']",['https://twitter.com/i/web/status/1250425106423136258'],"Despite proximity to #Delhi and #Gurugram, considered as sensitive zones, Jhajjar is one district in #Haryana that has no #coronavirus case. It's also significant as over 400 #Covid19 patients from Delhi have been admitted to Jhajjar AIIMS. 

#COVID2019 https://t.co/oHyjX2iXda",Despite proximity to Delhi and Gurugram considered as sensitive zones Jhajjar is one district in Haryana that has no coronavirus case Its also significant as over Covid patients from Delhi have been admitted to Jhajjar AIIMS COVID,2020-04-15 14:05:51,en,IANS Tweets,India's largest independent News Agency,New Delhi,0,0,0,0,True,,
2,1251394925771386880,"['haryana', 'gurgaon']","['https://indianexpress.com/article/india/migrant-labourers-delhi-lockown-india-coronavirus-covid-19-6367511/', 'https://twitter.com/i/web/status/1251394925771386880']","READ: Migrant’s last earning before suicide: Rs 2,500 from sale of phone #Haryana #Gurgaon

https://t.co/pkwgwQSDaC

Shared by The IndianExpress iOS App. Click here to download

https://t.co/0ObeT1lc6H",READ Migrant s last earning before suicide Rs from sale of phone Haryana Gurgaon Shared by The IndianExpress iOS App Click here to download,2020-04-18 06:19:34,en,Gitanjali Das,"Journalist with The Indian Express. Often found conversing with dogs, cats in Noida’s bylanes. Big sis to a rescue pup. Will follow anyone holding a cupcake.","New Delhi, India",0,0,2,0,True,,
3,1251908792339611648,"['iccc', 'gurugram']",['https://twitter.com/i/web/status/1251908792339611648'],"#ICCC Integrated Command &amp; Control centre acting as ‘COVID19 War room’ for monitoring &amp; surveillance in #Gurugram 
@ABPNews  @cmohry @mlkhattar 

https://t.co/bJomxvk0Zm https://t.co/SiS0DgoMk6",ICCC Integrated Command amp Control centre acting as COVID War room for monitoring amp surveillance in Gurugram ABPNews cmohry mlkhattar,2020-04-19 16:21:30,en,Sonal Goel,"IAS, SRCCian, CS, Lawyer, MA(PP), Top 25 Women Transforming India by Niti Aayog, Web Wonder Women by Twitter India, TEDx Speaker, CEO @gurugaman & Addl CEO GMDA","Gurgaon, India",3,8,14,100,True,,
4,1242460408692137984,"['covid', 'gurugram', 'haryana']",['https://twitter.com/i/web/status/1242460408692137984'],"Two more test #Covid19 Positive in #Gurugram, #Haryana

Number of  positive patients in Haryana increases to 16
(10-Gurugram, 2-Panipat, 1- Palwal, 1-Faridabad, 1-Panchkula, 1-Sonipat)

8,058 persons under Surveillance
405 Samples sent
65 Samples are awaited

#CoronavirusLockdown",Two more test Covid Positive in Gurugram Haryana Number of positive patients in Haryana increases to Gurugram Panipat Palwal Faridabad Panchkula Sonipat persons under Surveillance Samples sent Samples are awaited CoronavirusLockdown,2020-03-24 14:36:59,en,Haryana Tweets ✏️,CRITIC- Followed by @mlkhattar @ChBirenderSingh @BhupinderSHooda @rssurjewala @Dchautala @_YogendraYadav @bishnoikuldeep @aniljaindr @NSaina @yuzi_chahal @IYC,#Haryana #Chandigarh #India,1,0,5,5,True,,
5,1245691191955357698,"['coronavirus', 'haryana']",['https://twitter.com/i/web/status/1245691191955357698'],"#coronavirus @mlkhattar compared to other states, situation in #Haryana under control &amp; state has so far been successful in controlling  community transmission of #COVID2019. 13,500 under surveillance, only 20  of 33 positive cases under treatment, 13 patients discharged",coronavirus mlkhattar compared to other states situation in Haryana under control amp state has so far been successful in controlling community transmission of COVID under surveillance only of positive cases under treatment patients discharged,2020-04-02 12:34:58,en,Ranjeet  Jamwal,"Special Representative, @TheStatesmanLtd. Based in Chandigarh, covering Punjab, Haryana. Himachal Pradesh is home state, Mandi is home distt.  Views personal","Chandigarh, India",0,0,0,0,True,,
6,1241799314071904256,"['cronavirusupdate', 'covid', 'haryana']",['https://twitter.com/i/web/status/1241799314071904256'],"#cronavirusupdate
Four more test #Covid19 Positive in #Haryana !

Number of  positive patients in Haryana increases to 12 (8-Gurugram, 1-Faridabad, 1-Panipat, 1-Panchkula, 1-Sonipat)

7117 persons in #Haryana are on Surveillance

256 Samples sent
114 Samples are awaited https://t.co/PYR6oTJvg1",cronavirusupdate Four more test Covid Positive in Haryana Number of positive patients in Haryana increases to Gurugram Faridabad Panipat Panchkula Sonipat persons in Haryana are on Surveillance Samples sent Samples are awaited,2020-03-22 18:50:02,en,Mukesh Vashisth,"Journalist, Former Secretary Of State, Haryana @ABVPVoice",Faridabad(Haryana),0,0,0,0,True,strongly_positive,0.91275
7,1247848770940747777,"['covid', 'gurugram']",['https://twitter.com/i/web/status/1247848770940747777'],"#COVID19:
👉 A door-to-door survey will be conducted in #Gurugram.
👉Monitoring officer ACS VS Kundu held a meeting with zonal officers. 👉Teams will be deployed for survey at 3 levels.

#Covid_19 #covidindia #lockdown #Covid_19india #IndiaFightsCorona https://t.co/BY7n7cYBU3",COVID A doortodoor survey will be conducted in Gurugram Monitoring officer ACS VS Kundu held a meeting with zonal officers Teams will be deployed for survey at levels Covid covidindia lockdown Covidindia IndiaFightsCorona,2020-04-08 11:28:25,en,Garvit Bhirani,"MoJo, @pluc_tv & @letmebreathe_in | Student Journo, @newshoundindia | Fellow 2019 @yesfoundationIN| Formerly @unvolunteers, @democracynewsl|Views are personal |",India,0,0,0,0,True,,
8,1248881017424756739,"['coronavirus', 'haryana']",['https://twitter.com/i/web/status/1248881017424756739'],"Morning #Coronavirus #Haryana- 1 tested Positive in Hisar; COVID-19 cases rise to 163, Active Patients 139 

No new cases found in NCR.

963 persons currently hospitalised/isolated; 17,363 under Surveillance

3,635 Samples collected; 1/3rd reports (1,012) AWAITED; 2,460 negative https://t.co/0SshkvlHFX",Morning Coronavirus Haryana tested Positive in Hisar COVID cases rise to Active Patients No new cases found in NCR persons currently hospitalisedisolated under Surveillance Samples collected rd reports AWAITED negative,2020-04-11 07:50:12,en,Haryana Tweets ✏️,CRITIC- Followed by @mlkhattar @ChBirenderSingh @BhupinderSHooda @rssurjewala @Dchautala @_YogendraYadav @bishnoikuldeep @aniljaindr @NSaina @yuzi_chahal @IYC,#Haryana #Chandigarh #India,0,0,1,0,True,,
9,1250423977043824640,"['gmda', 'covid']",['https://twitter.com/i/web/status/1250423977043824640'],"During this Lockdown Period Integrated Command &amp; Control Centre of #GMDA Being used as ‘War Room' for #COVID19 Surveillance’ by District #Gurugram Team.
Assisting in Enforcement of real time monitoring of traffic &amp; Control,Health services,Social distancing etc. https://t.co/gQ62hHWnWH",During this Lockdown Period Integrated Command amp Control Centre of GMDA Being used as War Room for COVID Surveillance by District Gurugram Team Assisting in Enforcement of real time monitoring of traffic amp ControlHealth servicesSocial distancing etc,2020-04-15 14:01:22,en,प्रिय यादव (Priye Yadav),"1. आपका व्यक्तित्व ही आपकी पहचान है 2. नाम और पहचान भले छोटी हो मगर खुद की होनी चाहिए 3. ये दबदबा,ये हुकूमत,ये नशा,ये दौलतें सब किरायेदार हैं घर बदलते रहते है","Gurgaon, India ",0,0,0,0,True,,
