,id_str,hashtags,urls,text,clean_text,created_at,lang,quote_count,reply_count,retweet_count,favorite_count,to_cache,sa_label,sa
0,1247538661551255559,"['saudimoh', 'covid', 'كورونا']",['https://twitter.com/i/web/status/1247538661551255559'],"The Daily Report of #SaudiMOH 🇸🇦Monitoring Committee #COVID19 #كورونا as of 07 April 2020

Health Speaker: 64 new cases in #SaudiArabia 🇸🇦 recovered, with total 615 recoveries. https://t.co/mTRZzCmkLR",The Daily Report of SaudiMOH Monitoring Committee COVID كورونا as of April Health Speaker new cases in SaudiArabia recovered with total recoveries,2020-04-07 14:56:09,en,0,0,0,0,True,neutral,0.5
1,1251874870574661632,"['saudimoh', 'covid', 'كورونا']",['https://twitter.com/i/web/status/1251874870574661632'],"The Daily Report of #SaudiMOH 🇸🇦Monitoring Committee #COVID19 #كورونا as of 19 April 2020

Health Speaker: 69 new cases in #SaudiArabia 🇸🇦 recovered, with total 1,398 recoveries. https://t.co/7BiRmuadix",The Daily Report of SaudiMOH Monitoring Committee COVID كورونا as of April Health Speaker new cases in SaudiArabia recovered with total recoveries,2020-04-19 14:06:42,en,0,0,0,0,True,neutral,0.5
2,1243623819400695816,"['coronavirus', 'pandemic', 'covid', 'morocco', 'staysafe', 'كورونا']",['https://twitter.com/i/web/status/1243623819400695816'],"As of today, Morocco records 332 coronavirus cases.

#Coronavirus #Pandemic #covid19 #Morocco #StaySafe #كورونا #المغرب #بقاو_فالار #كورونا_المغرب

* The picture is just a tracking I made using Google Sheets.

Data source: https://t.co/mLhwLQwrjD https://t.co/wU2eBHlORl",As of today Morocco records coronavirus cases Coronavirus Pandemic covid Morocco StaySafe كورونا المغرب بقاوفالار كوروناالمغرب The picture is just a tracking I made using Google Sheets Data source,2020-03-27 19:39:58,en,0,0,0,0,True,neutral,0.5
3,1246485689795043328,"['covid', 'كوفيد١٩', 'coronavirus', 'كورونا', 'covidpandemic', 'nhscovidheroes']",[],"""TRACE , TEST &amp; TREAT""
USA &amp; Europe PLEASE Save lives 😢 
#COVID19 #كوفيد١٩
#coronavirus #كورونا
#COVID19Pandemic
#NHSCovidHeroes",TRACE TEST amp TREAT USA amp Europe PLEASE Save lives COVID كوفيد١٩ coronavirus كورونا COVIDPandemic NHSCovidHeroes,2020-04-04 17:12:01,en,0,0,0,0,True,strongly_positive,0.93235
4,1241775918672220161,"['coronavirus', 'covid', 'كورونا']",['https://www.nytimes.com/interactive/2020/03/21/upshot/coronavirus-deaths-by-country.html'],"#Coronavirus Deaths by U.S. State and Country Over Time: Daily Tracking - The New York Times
#COVIDー19 #كورونا  https://t.co/xVdcedkUyi",Coronavirus Deaths by US State and Country Over Time Daily Tracking The New York Times COVIDー كورونا,2020-03-22 17:17:04,en,0,0,0,0,True,neutral,0.5
5,1245412195816611842,"['covid', 'كوفيد١٩', 'coronavirus', 'كورونا']",['https://twitter.com/i/web/status/1245412195816611842'],"""TRACE , TEST &amp; TREAT""
USA &amp; Europe PLEASE Save lives 😢 
#COVID19 #كوفيد١٩
#coronavirus #كورونا

Coronavirus in South Korea: How 'trace, test and treat' may be saving lives https://t.co/ubFsAd9UhF",TRACE TEST amp TREAT USA amp Europe PLEASE Save lives COVID كوفيد١٩ coronavirus كورونا Coronavirus in South Korea How trace test and treat may be saving lives,2020-04-01 18:06:20,en,0,0,0,0,True,strongly_positive,0.95375
6,1246446443499532289,"['saudimoh', 'covid', 'كورونا']",['https://twitter.com/i/web/status/1246446443499532289'],"The Daily Report of #SaudiMOH 🇸🇦Monitoring Committee #COVID19 #كورونا as of 04 April 2020

Health Speaker: 69 new cases in #SaudiArabia 🇸🇦 recovered, with total 420 recoveries. https://t.co/AHZNRRNkvE",The Daily Report of SaudiMOH Monitoring Committee COVID كورونا as of April Health Speaker new cases in SaudiArabia recovered with total recoveries,2020-04-04 14:36:04,en,0,0,0,0,True,neutral,0.5
7,1250802392179900417,"['saudimoh', 'covid', 'كورونا']",['https://twitter.com/i/web/status/1250802392179900417'],"The Daily Report of #SaudiMOH 🇸🇦Monitoring Committee #COVID19 #كورونا as of 16 April 2020

Health Speaker: 59 new cases in #SaudiArabia 🇸🇦 recovered, with total 990 recoveries. https://t.co/TJ4Sbj1Tek",The Daily Report of SaudiMOH Monitoring Committee COVID كورونا as of April Health Speaker new cases in SaudiArabia recovered with total recoveries,2020-04-16 15:05:03,en,0,0,0,0,True,neutral,0.5
8,1249719765825982472,"['saudimoh', 'covid', 'كورونا']",['https://twitter.com/i/web/status/1249719765825982472'],"The Daily Report of #SaudiMOH 🇸🇦Monitoring Committee #COVID19 #كورونا as of 13 April 2020

Health Speaker: 44 new cases in #SaudiArabia 🇸🇦 recovered, with total 805 recoveries. https://t.co/5MS0l3R4vf",The Daily Report of SaudiMOH Monitoring Committee COVID كورونا as of April Health Speaker new cases in SaudiArabia recovered with total recoveries,2020-04-13 15:23:05,en,0,0,0,0,True,neutral,0.5
9,1249317356377169920,"['saudimoh', 'covid', 'كورونا']",['https://twitter.com/i/web/status/1249317356377169920'],"The Daily Report of #SaudiMOH 🇸🇦Monitoring Committee #COVID19 #كورونا as of 12 April 2020

Health Speaker: 41 new cases in #SaudiArabia 🇸🇦 recovered, with total 761 recoveries. https://t.co/UmqdtdMHcB",The Daily Report of SaudiMOH Monitoring Committee COVID كورونا as of April Health Speaker new cases in SaudiArabia recovered with total recoveries,2020-04-12 12:44:03,en,0,0,0,0,True,neutral,0.5
10,1244250909573603329,"['saudimoh', 'covid', 'كورونا']",[],The Daily Report of #SaudiMOH Monitoring Committee #COVID19 #كورونا as of 29 Mar 2020 https://t.co/Z3lbdMt5r3,The Daily Report of SaudiMOH Monitoring Committee COVID كورونا as of Mar,2020-03-29 13:11:48,en,0,0,0,0,True,neutral,0.5
11,1239862145841614848,"['covid', 'coronavirusoutbreak', 'كورونا', 'لبنان']",['https://coronalebanon.com/?158756868'],COVID-19 in Lebanon - Tracking the SARS-CoV-2 Coronavirus Epidemic https://t.co/ykGQEVoiyw #Covid_19 #CoronavirusOutbreak #كورونا #لبنان,COVID in Lebanon Tracking the SARSCoV Coronavirus Epidemic Covid CoronavirusOutbreak كورونا لبنان,2020-03-17 10:32:25,en,0,0,0,0,True,neutral,0.5
12,1249045070579478530,"['أبل', 'كورونا', 'apple', 'google']",['https://twitter.com/i/web/status/1249045070579478530'],"🔴 #أبل و#جوجل تطوران نظاما لتتبع مصابى #كورونا

#Apple  and #Google’s engineering teams have banded together to create a decentralized contact tracing tool that will help individuals determine whether they have been exposed to someone with #COVID19

https://t.co/9tRhy1VTBe https://t.co/OpDgb4qHPD",أبل وجوجل تطوران نظاما لتتبع مصابى كورونا Apple and Google s engineering teams have banded together to create a decentralized contact tracing tool that will help individuals determine whether they have been exposed to someone with COVID,2020-04-11 18:42:05,en,0,0,0,0,True,positive,0.77115
13,1246063976703823875,"['saudimoh', 'covid', 'كورونا']",['https://twitter.com/i/web/status/1246063976703823875'],"The Daily Report of #SaudiMOH 🇸🇦Monitoring Committee #COVID19 #كورونا as of 03 April 2020

Health Speaker: 23 new cases in #SaudiArabia 🇸🇦 recovered, with total 351 recoveries. https://t.co/sO6ymtJV66",The Daily Report of SaudiMOH Monitoring Committee COVID كورونا as of April Health Speaker new cases in SaudiArabia recovered with total recoveries,2020-04-03 13:16:17,en,0,0,0,0,True,neutral,0.5
