,text,hashtags
0,"Our Final submit to #WirvsVirus :D
Thx for the fun 48h @tammo0987 @theplayerpaul @manuelkollus
And don't forget to like and share our 
Submission ^^
 #WirVsVirusHack #hackthevirus #coronavirus #Hackathon
https://t.co/RnoK8hMewq",['wirvsvirus']
1,"We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. @CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #StayHome https://t.co/DbDhR9nqxG","['iotacommunity', 'wirvsvirus']"
2,"We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #StayHome https://t.co/MRX7tUzUzc","['iotacommunity', 'wirvsvirus']"
3,"Last weekend we just had the #WirVSVirus #hackathon co-organized by @die_regierung in order to fight the impact of #COVID19, so now we can move on and join the Antivirus Crowdhackathon co-organized by the  @govgr. https://t.co/UdxLn5pF5S","['wirvsvirus', 'hackathon']"
4,"Over the weekend we participated in Germanys Corona Hackathon #WirVsVirus. I really think this concept could be a #GameChanger to end isolation for the elderly! If you think so as well, please give it a like to help gain visibility. #COVID19  

https://t.co/9v7WEE3z64",['wirvsvirus']
5,"Some dedicated employees of Ideas Engineering designed a fantastic solution for the #wirvsvirus Hackathon. Now they need your vote!

Check out the YouTube video and drop a Like!

https://t.co/rO3UJVvxAo

#ideasengineering #corona #COVIDー19de #coronavirusdeutschland #HomeOffice",['wirvsvirus']
6,This weekend the #WirVsVirus hackathon took place online supported by the German federal government. For 48 hours more than 40.000 participants worked on projects to combat the Covid-19 crisis. More about the hackathon here: https://t.co/b5xJZad6t8,['wirvsvirus']
7,"#RT @iotatoken: We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. @CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #Stay… https://t.co/I8F824qe03","['rt', 'iotacommunity', 'wirvsvirus']"
8,"""OpenVent is an idea as part of the hackathon #WirvsVirus against Corona (COVID-19) for an open source ventilator with an ambubag plus maker components like stepper motors, 3D printed components, motor drivers, sensors, and Arduino compatible software""
https://t.co/7VmRqiiVHS",['wirvsvirus']
9,"👍 Thumbs up for #CoroNet by our researchers &amp; @SarahBorg19 – a #WirVsVirus hackathon project aiming to track #COVID19 infections. Upvote the video to upvote us 😉 | @Aja_Mys @SchulteRoman @prabhavk

https://t.co/pHXrF3du6U","['coronet', 'wirvsvirus']"
10,"We are making progress in the #WirvsVirus Hackathon. We will use the #IOTA #Tangle to distribute anonymous infection risk data to governmental institutions.
https://t.co/AP5LXItCJj I love being a part of the journey in this awesome community!","['wirvsvirus', 'iota', 'tangle']"
11,"neo v1.0.63 published on npm.
Latest Dashboard app:
https://t.co/fEAMR576k5

#WirVsVirus #WirVsVirusHack #WirvsCorona 

#neomjs #javascript #javascript30 #100daysofcode #301daysofcode #webdev #webdevelopment #frontend #html #html5 #webworker #CoronaOutbreak #COVID19 #COVID_19 https://t.co/4ZsSaTrH9J","['wirvsvirus', 'wirvsvirushack']"
12,"#WirvsVirus - Germany's biggest #hackathon initiated by the government. But what exactly happened at the event? We have here the most important information for you. Which #digital solution do you miss in times of #corona? 👩‍💻👨‍💻
#COVID19 @WirvsVirusHack 

https://t.co/hkqFSCpQ9f","['wirvsvirus', 'hackathon']"
13,Congratulations to the organisers &amp; participants on the great success of the #WirVSVirus hackathon to fight the #coronavirus See the impressive results here https://t.co/FjVY8LmwW2 @DoroBaer @avwgo @ChristinaE_Lang @SonjaAnton1 @impactpioneer @SEND_ev @JahnSandy @PT_Deutschland https://t.co/oF9OBLjm6N,['wirvsvirus']
