,text,hashtags,urls
0,"We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. @CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #StayHome https://t.co/DbDhR9nqxG","['iotacommunity', 'wirvsvirus']","['https://twitter.com/i/web/status/1242113796405186560', 'https://twitter.com/CryptoNewsFlas3/status/1242027963929047042']"
1,"We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #StayHome https://t.co/MRX7tUzUzc","['iotacommunity', 'wirvsvirus']","['https://twitter.com/i/web/status/1242113911660429313', 'https://twitter.com/CryptoNewsFlas3/status/1242027963929047042']"
2,"#RT @iotatoken: We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. @CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #Stay… https://t.co/I8F824qe03","['rt', 'iotacommunity', 'wirvsvirus']","['https://twitter.com/i/web/status/1242126839209918465', 'https://twitter.com/CryptoNewsFlas3/status/1242027963929047042']"
3,"👍 Thumbs up for #CoroNet by our researchers &amp; @SarahBorg19 – a #WirVsVirus hackathon project aiming to track #COVID19 infections. Upvote the video to upvote us 😉 | @Aja_Mys @SchulteRoman @prabhavk

https://t.co/pHXrF3du6U","['coronet', 'wirvsvirus']","['https://twitter.com/i/web/status/1242553647575244808', 'https://www.youtube.com/watch?v=zsdNWQ4vDYg&feature=youtu.be']"
4,"Day8/Round2 of #100DaysOfCode 
- Make an #Android app to track COVID-19 data published by Italian Civil Protection Authority on a daily basis. We are developing it with a friend, for now we do UI improvements. Language used is #Kotlin","['daysofcode', 'android']",['https://twitter.com/i/web/status/1242016660434845697']
5,Just built a small Android app to track the #coronavirus stats using @quasarframework #100DaysOfCode #COVID19 https://t.co/2pWtH9pjVr,"['coronavirus', 'daysofcode', 'covid']",['https://twitter.com/Richard_Keep/status/1239557230015307777/photo/1']
6,"#100DaysOfCode #AndroidDev #Kotlin
I just Made a Covid-19 Tracker using API and Kotlin
Nb: I used an API provided by RapidApi and the data are correct
I will Lately change the design of the App https://t.co/XE0VH4fRxq","['daysofcode', 'androiddev', 'kotlin']","['https://twitter.com/i/web/status/1239207278634557441', 'https://twitter.com/DoctorCode2/status/1239207278634557441/video/1']"
7,Day 13: Made some contributions to @aceg00ber open-source React Native Covid-19 tracker app.#100DaysOfCode,['daysofcode'],[]
8,"#100DaysOfCode
Day 2: 
Developed an API for tracking coronavirus outbreak. Used flask. Hosted it on @pythonanywhere .  
 
-&gt; https://t.co/6RyDT93rVc",['daysofcode'],"['https://twitter.com/i/web/status/1239872719279157248', 'http://nikhil.pythonanywhere.com/']"
9,"R2/D79 #100DaysOfCode
Researched and started setting up Google Analytics to track views of my #ReactJS app
Looked into some #coronavirus -related projects to work on next. There are so many amazing, inspiring projects people are working on! 🤯
https://t.co/xaNW2UjasR","['daysofcode', 'reactjs']","['https://twitter.com/i/web/status/1243084576077070336', 'https://helpwithcovid.com/']"
10,"#100DaysOfCode: Today I received this great tutorial from @freeCodeCamp 's @colbyfayock on how to use Leaflet Gatsby and GeoJSON to create a #COVIDー19 tracker app. A great tutorial on how to make an impactful mapping application using real life data:
https://t.co/q9UGptCSKl",['daysofcode'],"['https://twitter.com/i/web/status/1246036275506884608', 'https://www.freecodecamp.org/news/how-to-create-a-coronavirus-covid-19-dashboard-map-app-in-react-with-gatsby-and-leaflet/']"
11,#100DaysOfCode @thathackergirl Minor bug fix release of my #COVID19 @Android #app: https://t.co/6jymMWuSSQ - fixes: not showing correct tracking status after closing app and re-opening.,"['daysofcode', 'covid', 'app']","['https://github.com/geekdenz/covid19-tracker/releases/tag/0.0.2', 'https://twitter.com/i/web/status/1244919178718404608', 'https://github.com/geekdenz/covid19-tracker/releases/tag/0.0.2']"
12,"Day 14/100 #100DaysOfCode #React #reactjs #CoronavirusOutbreak #Covid_19 

The Covid-19 tracker app

I will continue to add functionality and charting of data.

RT and stay healthy!

https://t.co/7EMnQlDEU6","['daysofcode', 'react', 'reactjs', 'coronavirusoutbreak', 'covid']","['https://twitter.com/i/web/status/1240745372861059073', 'https://covid-19-tracker.net/']"
13,"Day 39 of #100DaysOfCode round 2, I build issue tracker app https://t.co/9ycnhd0jkA as part of my @freeCodeCamp projects during the #Quarantine.

 #javascript #jquery #MongoDB #COVID19 #NodeJS #programmerslife",['daysofcode'],"['https://glossy-freckle-viper.glitch.me/', 'https://twitter.com/i/web/status/1244102234239008776', 'https://glossy-freckle-viper.glitch.me/']"
14,#COVID19 @thathackergirl #100DaysOfCode Does anyone want to alpha test my @Android #app for tracking your location to later find out where it has been spreading? Data is anonymous and can later be associated with Covid19 status and maybe more: https://t.co/OG1dz5kYGP,"['covid', 'daysofcode', 'app']","['https://twitter.com/i/web/status/1244205914489360385', 'https://github.com/geekdenz/covid19-tracker/releases/tag/0.0.1']"
15,"Day 21 of #100DaysOfCode worked almost the whole day. made a covid19 stats tracker with JHU GitHub data. automated updates every day!😀
https://t.co/6LzgDkFh4O

also, if you get an application error, run it after awhile.

here are a few pictures of the app.  #Python3 https://t.co/wrG6Xv0glC",['daysofcode'],"['https://twitter.com/i/web/status/1245783634067329024', 'https://pacific-plains-11986.herokuapp.com/', 'https://twitter.com/beeekiran/status/1245783634067329024/photo/1']"
16,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/UTdmw6wcv1 https://t.co/9P0SF7UOci,['futurism'],"['https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19', 'https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
17,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/bzuU9VG6X4 https://t.co/HIivPxkQKn,['futurism'],"['https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19', 'https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
18,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/jEUKfFuf3B https://t.co/ECShq5h4p9,['futurism'],"['https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19', 'https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
19,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/51Q7uqVBnT https://t.co/2hQmKFhdKK,['futurism'],"['https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19', 'https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
20,● NEWS ● #futurism #surveillance #policestate ☞ A Growing Number of Countries Tap Phone Data to Track #COVID19 https://t.co/2AJyMsXWEe,"['futurism', 'surveillance', 'policestate', 'covid']","['https://futurism.com/countries-tap-phone-data-track-covid19', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
21,A growing number of countries tap phone data to track COVID-19 #Futurism  https://t.co/lOvipnfUz2,['futurism'],"['https://futurism.com/countries-tap-phone-data-track-covid19', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
