,text,hashtags
0,"Is there an App for #COVID19 genetic testing yet? How soon? Will we be able to give saliva sample to #SmartPhone, &amp; transmit results to #ProjectBaseline from home? https://t.co/J3nIIofyHb
&gt;https://t.co/GiQO23g7Cz &gt;https://t.co/mbMsJXUlCg
&gt;https://t.co/E54F0S11Y6 @WorldUnivAndSch? https://t.co/YjDu8aVMvK","['covid', 'smartphone']"
1,"#Chinese #smartphone maker #Vivo told GT that the firm has mandated 100% work from home for its employees starting from Monday in #India, noting that it will continue to follow local government's directive and advisory on the #COVID19 situation. https://t.co/X9Mo2oskyb","['chinese', 'smartphone', 'vivo']"
2,The latest The sarasota communities Daily! https://t.co/EyzyPGR1Y3 Thanks to @BrandyCoffey #covid19 #smartphone,"['covid', 'smartphone']"
3,"#Africa 's #Smartphone Market Posts Growth, but Uncertainty Around Global #COVIDー19 Outbreak Casts Shadow over Short-Term Prospects. Read at https://t.co/UShcXtDQYt @MarkWalker36 https://t.co/dlCnAgsNuU https://t.co/Q91l7LiT3K","['africa', 'smartphone', 'covid']"
4,"Died of #coronavirus, US man receives last rites over #smartphone https://t.co/HJ5TVXWabn | #technology #technews #artificialintelligence #AI #ML #RPA #covid19 #coronavirus2019india","['coronavirus', 'smartphone', 'technology', 'technews']"
5,Apple's Siri helps Americans wondering if they have COVID-19 https://t.co/rR4VMi5D7B #voiceassistant #coronavirus #smartphone #internet #cdc,"['voiceassistant', 'coronavirus', 'smartphone', 'internet', 'cdc']"
6,"Is there an App for #COVID19 genetic testing yet? How soon? Will we be able to give saliva sample to #SmartPhone, &amp; transmit results to #ProjectBaseline from home? https://t.co/R2wIuX5dOl
&gt;https://t.co/QTfH0CdG6c &gt;https://t.co/BAldS48ejy
&gt;https://t.co/ogIXJBm6ZL @WorldUnivAndSch? https://t.co/rWLH0fkX1l","['covid', 'smartphone']"
7,"Is there an App for #COVID19 genetic testing yet? How soon? Will we be able to give saliva sample to #SmartPhone, &amp; transmit results to #ProjectBaseline from home? https://t.co/JUuzJhIetw
&gt;https://t.co/M0lM6IfkQM &gt;https://t.co/VFQpDDDqIn
&gt;https://t.co/SpuwGvCarz @WorldUnivAndSch? https://t.co/5yqTxbJVfn","['covid', 'smartphone']"
8,"Besides washing our hands, do remember to #disinfect our #smartphone during this #coronavirus period. 
The #disinfectant of #ELECLEAN does not contain #alcohol so safe no damage to our phone and #health. https://t.co/oIgt9fx6KA","['disinfect', 'smartphone', 'coronavirus']"
9,BBC News - Coronavirus: #Smartphone sales collapse amid pandemic https://t.co/ObJX03kAQK   #sales #mobile #retail,"['smartphone', 'sales', 'mobile', 'retail']"
10,"The #FederalGovernment is in talks with #Facebook, #Google, and other #tech companies about using #smartphone location #data to track the #coronavirus. The main purpose is to see how the #virus spreads and whether people are practicing #socialdistancing. 
https://t.co/jHxPHjqsF4","['federalgovernment', 'facebook', 'google', 'tech', 'smartphone']"
11,The latest The Paola Social Media Daily! https://t.co/iQQE02fSvP Thanks to @Phonzieapp #coronavirus #smartphone,"['coronavirus', 'smartphone']"
12,"#ados you better start teaching ya bigmama/papa how to use a #smartphone right now!
New Coronavirus Stimulus Bill In Congress Creates U.S. Digital Dollar via @forbes https://t.co/OPmeg2IH28","['ados', 'smartphone']"
13,Coronavirus outbreak drops #smartphone industry into worst-ever plunge https://t.co/8aSfmgvJDr,['smartphone']
14,"Is there an App for #COVID19 genetic testing yet? How soon? Will we be able to give saliva sample to #SmartPhone, &amp; transmit results to #ProjectBaseline from home? https://t.co/MTdXyuG363
&gt;https://t.co/RtdqGNb9Dv &gt;https://t.co/dZUdUxcFBz
&gt;https://t.co/roTJSySPk2 @WorldUnivAndSch? https://t.co/4tWkTVjg81","['covid', 'smartphone']"
15,"OH NO!

@eyehinakhan was set to entertain fans one more time with her upcoming short film titled #SmartPhone but unfortunately the whole plan has been delayed for now due to #Coronavirus!

#HinaKhan | #Hacked | #BiggBoss | #Covid19 | @Hinaholics 

https://t.co/XyUPxEGcKk",['smartphone']
16,How to clean the bundle of germs that is your phone https://t.co/tzWVxj39Al via @APNews #covid19 #coronavirus #germs #smartphone #phone,"['covid', 'coronavirus', 'germs', 'smartphone', 'phone']"
17,Trudeau leaves door open to using #smartphone data to track compliance with #COVID19 rules #coronavirus #health #nbpoli,"['smartphone', 'covid', 'coronavirus', 'health']"
18,"#Smartphone #data reveal which #Americans are #socialdistancing (and not)
D.C. gets an ‘A’ while Wyoming earns an ‘F’ for following #coronavirus stay-at-home advice https://t.co/Tuwv9tQC7R","['smartphone', 'data', 'americans', 'socialdistancing']"
19,How to keep your smartphone clean during the coronavirus outbreak https://t.co/Zb8yOd2U2L via @techrepublic #smartphone #clean #coronavirus,"['smartphone', 'clean', 'coronavirus']"
20,"#AI-Powered #Smartphone App Offers #Coronavirus Risk Assessment #HealthTech #HealthIT 
#ArtificialIntelligence 
V/ @MargaretSiegien @PawlowskiMario https://t.co/unDcSzD2nV","['ai', 'smartphone', 'coronavirus', 'healthtech', 'healthit', 'artificialintelligence']"
21,"When making efforts to maintain #hygiene, why leave your smartphone behind? Cleaning your #smartphone is equally important to protect you and others. Few tips to guide you on how to sanitize your smartphone.  
Click to Connect-  https://t.co/u9g7dwH6Q7

#Coronavirus #COVID19india https://t.co/v9ASJ5533a","['hygiene', 'smartphone']"
22,"Keeping your #smartphone clean is a good idea under normal circumstances. But with the threat of the #coronavirus, also known as #COVID19, a good cleaning is essential to protect yourself and other people from potentially getting infected.  https://t.co/KPVET2Bwkr https://t.co/OGTwR5lRfn","['smartphone', 'coronavirus']"
23,"Advanced and Cheaper New Xiaomi Smartphone has 64MP Camera
#64MPCamera
#COVID19
#Note9Pro
#smartphone
https://t.co/xjWO4aWw8N","['mpcamera', 'covid', 'notepro', 'smartphone']"
24,#Future is noe! futureproofn #smartphone Kry launches free service for doctors to do video consultations during COVID-19 crisis https://t.co/4Ugg4vAAwQ,"['future', 'smartphone']"
25,"There's an massive amount of change in consumption of Media. 

#covid19 #mediamonitoring #smartphone #sociallistening #socialmedia #socialmediatrends https://t.co/qNq7j2vvgg","['covid', 'mediamonitoring', 'smartphone']"
26,COVID-19 Toolkit Page — Unacast https://t.co/JfC8zF4l4N #géolocalisation #information #unacast.com #smartphone #BigData #Unacast #santé #GPS,"['géolocalisation', 'information', 'unacast', 'smartphone', 'bigdata', 'unacast', 'santé', 'gps']"
27,"After @Samsung and @LG, other #smartphone manufacturers including Chinese players and @Apple have also suspended the production and temporarily shut their factories to curb the spread of #coronavirus. #technology #CoronavirusOutbreak https://t.co/s3SFcSEZL7",['smartphone']
